change % (dividend),dividend,change % (security),security,change % (net interest),net interest,year
-,"4,142",-,"2,068",-,727,2010
0.3%,"4,153",-41.9%,"1,201",83.5%,"1,334",2011
86.5%,"7,745",-28.8%,855,16.6%,"1,555",2012
-45.7%,"4,209",61.4%,"1,380",25.0%,"1,943",2013
-21.3%,"3,311",66.2%,"2,294",-14.3%,"1,665",2014
33.2%,"4,409",-7.9%,"2,113",13.0%,"1,882",2015
-2.1%,"4,315",-42.0%,"1,225",-15.7%,"1,586",2016
260.9%,"15,571",89.5%,"2,321",9.6%,"1,738",2017
-80.5%,"3,038",-1.4%,"2,288",4.9%,"1,824",2018
28.7%,"3,909",-23.3%,"1,756",9.9%,"2,004",2019
3.5%,"4,045",72.4%,"3,028",-16.7%,"1,669",2020
54.8%,"6,262",64.8%,"4,991",19.5%,"1,995",2021
25.2%,"7,840",-55.9%,"2,203",13.0%,"2,255",2022
-1.4%,"7,728",-29.8%,"1,547",69.9%,"3,831",2023
,"80,677",,"29,270",,"26,008",total
