Date,Year,VAT_Rate_Percent,Change_Type
01.01.2025,2025,18.0,Increase
01.10.2015,2015,17.0,Decrease
02.06.2013,2013,18.0,Increase
01.09.2012,2012,17.0,Increase
01.01.2010,2010,16.0,Decrease
01.07.2009,2009,16.5,Increase
01.07.2006,2006,15.5,Decrease
01.09.2005,2005,16.5,Decrease
01.03.2004,2004,17.0,Decrease
15.06.2002,2002,18.0,Increase
01.01.1993,1993,17.0,Decrease
01.01.1991,1991,18.0,Increase
01.03.1990,1990,16.0,Increase
01.10.1985,1985,15.0,Decrease
01.06.1985,1985,17.0,Increase
01.08.1982,1982,15.0,Increase
01.11.1977,1977,12.0,Increase
