Year,Average,January,February,March,April,May,June,July,August,September,October,November,December
1980,834.9,559.9,587.5,617.5,680.5,744.9,779.3,813.4,880.5,944.5,1048.4,1146.7,1215.3
1981,216.8,156.2,164.8,172.7,191.1,197.5,202.9,215.2,223.6,241.8,263.6,278.9,293.3
1982,477.7,317.7,335.8,352.8,390.4,414.7,439.7,480.2,518.0,557.3,604.1,643.3,679.0
1983,1173.5,736.6,781.3,825.4,934.9,986.5,1022.0,1085.9,1163.7,1268.3,1535.5,1768.5,1973.8
1984,5560.4,2268.3,2539.8,2810.7,3389.7,3874.3,4391.7,4934.1,5746.9,6975.0,8672.6,10367.4,10754.8
1985,225.0,113.2,128.5,144.0,171.9,183.6,211.0,269.0,279.5,288.0,301.4,302.8,306.7
1986,148.1,134.5,136.7,138.8,143.4,145.7,148.1,148.1,149.7,152.6,156.2,160.7,163.1
1987,177.5,166.6,168.2,170.4,174.2,175.3,177.0,177.4,179.6,181.3,184.1,187.0,189.4
1988,116.3,108.4,109.3,111.1,114.1,115.5,115.8,115.9,116.8,118.8,121.6,123.6,124.2
1989,139.8,130.0,132.2,132.8,136.2,137.4,139.1,139.9,141.6,143.8,146.4,148.3,149.9
1990,163.8,151.5,152.3,154.2,158.1,160.6,161.8,164.4,167.0,170.5,173.4,175.6,176.3
1991,194.9,178.6,179.7,181.9,185.9,189.4,193.1,198.9,203.0,206.2,207.1,207.4,208.1
1992,218.2,208.1,210.2,213.3,217.1,216.3,216.6,218.1,219.8,222.7,223.8,225.2,227.6
1993,242.1,230.5,233.3,236.3,239.6,240.3,240.9,241.2,243.5,245.9,249.4,251.3,253.2
1994,112.3,105.3,105.9,107.0,109.1,110.4,111.9,113.1,114.3,115.6,117.2,118.7,119.7
1995,123.6,119.9,120.1,120.0,121.1,122.3,122.7,123.0,124.5,125.7,127.0,127.9,129.4
1996,137.6,130.5,131.7,133.0,135.2,137.5,138.5,138.9,139.4,140.0,141.1,142.0,143.1
1997,150.0,143.7,145.4,146.8,147.9,148.6,150.2,151.7,152.3,152.2,154.0,153.6,153.1
1998,158.1,153.6,153.5,153.2,155.3,155.9,156.5,156.3,157.1,159.3,164.1,166.2,166.3
1999,105.2,104.7,103.9,103.7,104.0,104.5,104.8,105.1,105.6,106.1,106.8,106.6,106.6
2000,106.4,106.1,105.6,105.3,105.8,106.7,107.0,107.3,106.7,106.1,106.7,106.7,106.6
2001,101.1,99.6,99.5,99.7,100.6,101.0,101.3,101.7,102.0,102.2,102.3,101.7,101.6
2002,106.8,102.7,103.5,104.0,105.6,106.6,108.0,108.7,108.3,108.7,109.4,108.5,108.2
2003,100.7,101.5,101.9,102.1,101.9,101.4,100.8,100.1,100.3,99.8,99.8,99.6,99.4
2004,100.3,99.2,99.4,99.3,100.4,100.8,100.8,100.6,100.8,100.6,100.6,100.5,100.6
2005,101.6,100.0,100.2,100.0,100.7,101.0,101.1,102.2,102.4,102.5,103.3,103.2,103.0
2006,103.8,102.7,103.3,103.6,104.5,104.5,104.6,104.7,104.7,103.8,103.1,102.9,102.9
2007,100.5,99.0,98.7,98.9,99.4,99.4,100.1,101.2,101.9,101.4,101.5,101.9,102.5
2008,105.1,102.5,102.3,102.6,104.1,104.8,104.9,106.1,107.0,107.0,107.1,106.5,106.4
2009,103.3,100.7,100.6,101.1,102.1,102.5,103.4,104.5,105.0,104.7,104.9,105.2,105.2
2010,106.1,104.5,104.2,104.3,105.2,105.6,105.9,106.4,106.9,107.2,107.5,107.6,108.0
2011,103.5,102.0,102.3,102.5,103.1,103.6,104.0,103.7,104.2,104.0,104.1,104.0,104.0
2012,105.2,104.0,104.0,104.4,105.3,105.3,105.0,105.1,106.2,106.2,106.0,105.5,105.7
2013,101.6,100.3,100.3,100.5,100.9,101.0,101.8,102.1,102.3,102.3,102.6,102.2,102.3
2014,102.0,101.7,101.5,101.8,101.9,102.0,102.3,102.4,102.3,102.0,102.3,102.1,102.1
2015,99.4,99.2,98.5,98.8,99.4,99.6,99.9,100.1,99.9,99.5,99.6,99.2,99.1
2016,98.9,98.6,98.3,98.1,98.5,98.8,99.1,99.5,99.2,99.1,99.3,98.9,98.9
2017,100.2,99.8,99.8,100.1,100.3,100.7,100.0,99.9,100.2,100.3,100.6,100.3,100.4
2018,101.0,99.9,100.0,100.3,100.7,101.2,101.3,101.3,101.4,101.5,101.8,101.5,101.2
2019,100.9,100.1,100.2,100.7,101.0,101.7,101.1,100.8,101.0,100.8,101.2,100.8,100.8
2020,100.3,100.4,100.3,100.7,100.4,100.1,100.0,100.2,100.2,100.1,100.4,100.2,100.1
2021,101.5,99.7,100.0,100.6,100.9,101.3,101.4,101.8,102.1,102.3,102.4,102.3,102.6
2022,105.9,102.8,103.5,104.1,104.9,105.5,105.9,107.1,106.8,107.0,107.6,107.7,108.0
2023,104.2,102.3,102.8,103.2,104.0,104.2,104.2,104.5,105.0,104.9,105.4,105.1,105.0
2024,107.4,105.0,105.4,106.0,106.9,107.1,107.2,107.8,108.8,108.6,109.1,108.7,108.4
2025,103.1,101.5,101.5,102.0,103.1,102.8,103.1,103.5,104.2,103.6,104.1,103.6,103.6
